V5.p X,V5.p Y
2.650000000000006e-11,-9.130799994410568e-07
2.700000000000007e-11,-9.130799916779228e-07
2.750000000000006e-11,-9.130799996036777e-07
2.800000000000006e-11,-9.130799911194362e-07
2.850000000000007e-11,-9.13080000019978e-07
2.900000000000007e-11,-9.130799905092425e-07
2.950000000000007e-11,-9.13080000302983e-07
3.000000000000007e-11,-9.130799900805811e-07
3.050000000000007e-11,-9.130800006460947e-07
3.100000000000007e-11,-9.130799896311194e-07
3.150000000000007e-11,-9.13080000889458e-07
3.200000000000008e-11,-9.130799894187803e-07
3.250000000000008e-11,-9.13080000497161e-07
3.300000000000008e-11,-9.130799899539513e-07
3.350000000000008e-11,-9.1308000016268e-07
3.400000000000008e-11,-9.130799899631942e-07
3.450000000000008e-11,-9.130800005423559e-07
3.500000000000008e-11,-9.130799893957987e-07
3.550000000000008e-11,-9.130800004194032e-07
3.600000000000008e-11,-9.130799896193944e-07
3.650000000000009e-11,-9.130799999868926e-07
3.700000000000009e-11,-9.130799902932915e-07
3.750000000000009e-11,-9.130799999848568e-07
3.800000000000009e-11,-9.13079990065042e-07
3.850000000000009e-11,-9.130799996575549e-07
3.900000000000009e-11,-9.130799907781238e-07
3.950000000000009e-11,-9.130799989286407e-07
4.000000000000009e-11,-9.130799911903333e-07
4.050000000000009e-11,-9.13079998745435e-07
4.10000000000001e-11,-9.130799915410737e-07
4.15000000000001e-11,-9.130799981335054e-07
4.20000000000001e-11,-9.130799919478533e-07
4.24999999990001e-11,-9.130799987951086e-07
4.29999999990001e-11,-9.130799913697848e-07
4.349999999900011e-11,-9.130799988215102e-07
4.39999999990001e-11,-9.130799913601173e-07
4.44999999990001e-11,-9.130799993068351e-07
4.499999999900011e-11,-9.13079990936612e-07
4.54999999990001e-11,-9.130799989922733e-07
4.599999999900011e-11,-9.130799915531732e-07
4.649999999900011e-11,-9.13079998587309e-07
4.699999999900011e-11,-9.130799913562249e-07
4.749999999900011e-11,-9.130799986825168e-07
4.799999999900012e-11,-9.130799917280658e-07
4.849999999900011e-11,-9.13079998661392e-07
4.899999999900012e-11,-9.130799913938512e-07
4.949999999900012e-11,-9.130799985739046e-07
4.999999999900011e-11,-9.130799921060915e-07
5.049999999900012e-11,-9.130799980373038e-07
5.099999999900012e-11,-9.130799921381178e-07
5.149999999900012e-11,-9.130799980401765e-07
5.199999999900012e-11,-9.130799920725194e-07
5.249999999900013e-11,-9.130799975688971e-07
5.299999999900012e-11,-9.130799930530067e-07
5.349999999900013e-11,-9.130799971376447e-07
5.399999999900013e-11,-9.13079993154993e-07
