V4.p X,V4.p Y
3.150000000000007e-11,-2.974491565086057e-06
3.200000000000008e-11,-2.974491542074829e-06
3.250000000000008e-11,-2.974491592539373e-06
3.300000000000008e-11,-2.974491553830234e-06
3.350000000000008e-11,-2.974491615708144e-06
3.400000000000008e-11,-2.974491576151666e-06
3.450000000000008e-11,-2.97449162711866e-06
3.500000000000008e-11,-2.974491593645263e-06
3.550000000000008e-11,-2.974491642277168e-06
3.600000000000008e-11,-2.974491612996475e-06
3.650000000000009e-11,-2.974491651366343e-06
3.700000000000009e-11,-2.974491632567912e-06
3.750000000000009e-11,-2.974491650080934e-06
3.800000000000009e-11,-2.974491646026434e-06
3.850000000000009e-11,-2.97449166244778e-06
3.900000000000009e-11,-2.974491656190671e-06
3.950000000000009e-11,-2.974491666903318e-06
4.000000000000009e-11,-2.974491658437049e-06
4.050000000000009e-11,-2.974491676853688e-06
4.10000000000001e-11,-2.974491664218595e-06
4.15000000000001e-11,-2.974491684301218e-06
4.20000000000001e-11,-2.974491671450702e-06
4.24999999990001e-11,-2.974491684877012e-06
4.29999999990001e-11,-2.974491675304834e-06
4.349999999900011e-11,-2.974491690336645e-06
4.39999999990001e-11,-2.974491677631138e-06
4.44999999990001e-11,-2.97449169305691e-06
4.499999999900011e-11,-2.974491685901259e-06
4.54999999990001e-11,-2.974491692383688e-06
4.599999999900011e-11,-2.974491693344229e-06
4.649999999900011e-11,-2.974491684544899e-06
4.699999999900011e-11,-2.974491698050667e-06
4.749999999900011e-11,-2.974491690274816e-06
4.799999999900012e-11,-2.974491704361264e-06
4.849999999900011e-11,-2.974491689658152e-06
4.899999999900012e-11,-2.974491706839866e-06
4.949999999900012e-11,-2.974491684822892e-06
4.999999999900011e-11,-2.974491711380971e-06
5.049999999900012e-11,-2.974491686568648e-06
5.099999999900012e-11,-2.974491715030803e-06
5.149999999900012e-11,-2.974491684305563e-06
5.199999999900012e-11,-2.974491710777617e-06
5.249999999900013e-11,-2.974491686550844e-06
5.299999999900012e-11,-2.974491708415582e-06
5.349999999900013e-11,-2.974491694384687e-06
5.399999999900013e-11,-2.974491708327893e-06
5.449999999900013e-11,-2.974491688118408e-06
5.499999999900013e-11,-2.974491710033593e-06
5.549999999900013e-11,-2.974491691510944e-06
5.599999999900013e-11,-2.974491712345873e-06
5.649999999900013e-11,-2.97449168973287e-06
5.699999999900014e-11,-2.974491714850494e-06
5.749999999900013e-11,-2.97449168824855e-06
5.799999999900014e-11,-2.974491714363573e-06
5.849999999900014e-11,-2.974491683293392e-06
5.899999999900014e-11,-2.974491714189653e-06
