V1.p X,V1.p Y
0,-0.001252927844878223
5.000000000000012e-13,-0.001252927844880294
1.000000000000002e-12,-0.001252927844880321
1.500000000000004e-12,-0.001252927844880367
2.000000000000005e-12,-0.001252927844880258
2.500000000000006e-12,-0.001252927844880314
2.999999999000007e-12,-0.001252927844880384
3.499999999000008e-12,-0.001252927844880237
4.00000000000001e-12,-0.001252927844880372
4.50000000000001e-12,-0.001252927844880226
5.000000000000012e-12,-0.001252927844880401
5.500000000000013e-12,-0.001252927844880136
5.999999999000014e-12,-0.001252927844880372
6.499999999000016e-12,-0.001252927844880172
6.999999999000016e-12,-0.001252927844880266
7.500000000000018e-12,-0.001252927844880247
8.000000000000019e-12,-0.001252927844880201
8.500000000000021e-12,-0.001252927844880373
9.000000000000021e-12,-0.001252927844880148
9.500000000000022e-12,-0.001252927844880284
1.000000000000002e-11,-0.00125292784488021
1.050000000000003e-11,-0.00125292784488039
1.100000000000003e-11,-0.001252927844880111
1.150000000000003e-11,-0.001252927844880341
1.199999999900003e-11,-0.001252927844880224
1.249999999900003e-11,-0.001252927844880189
1.299999999900003e-11,-0.001252927844880296
1.349999999900003e-11,-0.001252927844880136
1.399999999900003e-11,-0.001252927844880403
1.449999999900003e-11,-0.001252927844880075
1.500000000000004e-11,-0.001252927844880392
1.550000000000004e-11,-0.001252927844880099
1.600000000000004e-11,-0.001252927844880477
1.650000000000004e-11,-0.001252927844880013
1.700000000000004e-11,-0.001252927844880454
1.750000000000004e-11,-0.00125292784488006
1.800000000000004e-11,-0.0012529278448804
1.850000000000004e-11,-0.001252927844880026
1.900000000000004e-11,-0.001252927844880467
1.950000000000005e-11,-0.001252927844879949
2.000000000000005e-11,-0.001252927844880512
2.050000000000005e-11,-0.001252927844879971
2.100000000000005e-11,-0.001252927844880611
2.150000000000005e-11,-0.001252927844879793
2.200000000000005e-11,-0.001252927844880662
2.250000000000005e-11,-0.001252927844879816
2.300000000000005e-11,-0.001252927844880555
2.350000000000005e-11,-0.001252927844879886
2.400000000000006e-11,-0.001252927844880504
2.450000000000006e-11,-0.001252927844879887
2.500000000000006e-11,-0.001252927844880466
2.550000000000006e-11,-0.001252927844879998
2.600000000000006e-11,-0.001252927844880406
2.650000000000006e-11,-0.001252927844879871
2.700000000000007e-11,-0.001252927844880681
2.750000000000006e-11,-0.001252927844879653
2.800000000000006e-11,-0.001252927844880652
2.850000000000007e-11,-0.001252927844879649
2.900000000000007e-11,-0.001252927844880733
2.950000000000007e-11,-0.001252927844879539
3.000000000000007e-11,-0.001252927844880784
3.050000000000007e-11,-0.001252927844879484
3.100000000000007e-11,-0.001252927844880782
3.150000000000007e-11,-0.00125292784487959
3.200000000000008e-11,-0.001252927844880855
3.250000000000008e-11,-0.001252927844879518
3.300000000000008e-11,-0.001252927844880835
3.350000000000008e-11,-0.001252927844879406
3.400000000000008e-11,-0.001252927844880883
3.450000000000008e-11,-0.001252927844879501
3.500000000000008e-11,-0.001252927844880778
3.550000000000008e-11,-0.001252927844879593
3.600000000000008e-11,-0.001252927844880644
3.650000000000009e-11,-0.001252927844879528
3.700000000000009e-11,-0.001252927844880731
3.750000000000009e-11,-0.001252927844879666
3.800000000000009e-11,-0.00125292784488075
3.850000000000009e-11,-0.001252927844879654
3.900000000000009e-11,-0.001252927844880646
3.950000000000009e-11,-0.001252927844879602
4.000000000000009e-11,-0.001252927844880683
4.050000000000009e-11,-0.00125292784487962
4.10000000000001e-11,-0.001252927844880653
4.15000000000001e-11,-0.001252927844879575
4.20000000000001e-11,-0.001252927844880635
4.24999999990001e-11,-0.001252927844879548
4.29999999990001e-11,-0.001252927844880709
4.349999999900011e-11,-0.001252927844879474
4.39999999990001e-11,-0.001252927844880708
4.44999999990001e-11,-0.001252927844879503
4.499999999900011e-11,-0.001252927844880671
4.54999999990001e-11,-0.001252927844879416
4.599999999900011e-11,-0.001252927844880845
4.649999999900011e-11,-0.001252927844879454
4.699999999900011e-11,-0.001252927844880785
4.749999999900011e-11,-0.001252927844879404
4.799999999900012e-11,-0.001252927844880823
4.849999999900011e-11,-0.001252927844879497
4.899999999900012e-11,-0.001252927844880754
4.949999999900012e-11,-0.00125292784487939
4.999999999900011e-11,-0.001252927844880779
5.049999999900012e-11,-0.001252927844879462
5.099999999900012e-11,-0.001252927844880733
5.149999999900012e-11,-0.00125292784487949
5.199999999900012e-11,-0.001252927844880713
5.249999999900013e-11,-0.001252927844879516
5.299999999900012e-11,-0.001252927844880795
5.349999999900013e-11,-0.001252927844879555
5.399999999900013e-11,-0.001252927844880647
5.449999999900013e-11,-0.001252927844879581
5.499999999900013e-11,-0.001252927844880629
5.549999999900013e-11,-0.001252927844879603
5.599999999900013e-11,-0.001252927844880685
5.649999999900013e-11,-0.001252927844879458
5.699999999900014e-11,-0.0012529278448808
5.749999999900013e-11,-0.001252927844879374
5.799999999900014e-11,-0.001252927844880816
5.849999999900014e-11,-0.001252927844879427
5.899999999900014e-11,-0.001252927844880774
5.949999999900013e-11,-0.00125292784487949
